a,b,op,c,d,real,imaginary
73,3,0,88,34,161,37
70,1,2,64,58,4422,4124
48,0,2,13,14,624,672
97,22,2,50,54,3662,6338
65,40,1,68,14,-3,26
97,0,0,15,58,112,58
73,78,1,17,4,56,74
22,14,1,49,27,-27,-13
1,38,0,75,72,76,110
96,44,2,17,60,-1008,6508
54,52,2,6,12,-300,960
51,38,3,91,2,0.569342184671092,0.405069402534701
31,46,2,23,71,-2553,3259
91,72,0,85,30,176,102
94,7,3,71,93,0.535062089116143,-0.602264426588751
55,63,2,37,48,-989,4971
61,96,1,25,57,36,39
2,34,2,50,38,-1192,1776
33,40,0,27,17,60,57
99,61,0,97,88,196,149
13,37,3,35,51,0.612127548353372,0.165185572399373
5,73,2,17,71,-5098,1596
65,60,2,44,31,1000,4655
87,11,3,18,27,1.76923076923077,-2.04273504273504
71,79,2,97,53,2700,11426
31,4,1,97,43,-66,-39
24,90,3,57,48,1.02431118314425,0.716369529983793
39,36,3,8,29,1.49834254143646,-0.931491712707182
89,18,1,71,4,18,14
69,43,2,77,35,3808,5726
16,30,0,77,16,93,46
17,92,3,79,5,0.287743376954995,1.14634535588892
27,38,0,2,66,29,104
89,2,3,50,58,0.778649386084584,-0.863233287858117
14,48,1,27,5,-13,43
43,99,0,58,2,101,101
47,27,1,21,76,26,-49
5,99,3,32,89,1.00290665176076,0.304415874790386
83,39,3,31,59,1.09725348941918,-0.830256641152634
0,9,0,14,43,14,52
63,48,1,33,39,30,9
75,99,1,0,99,75,0
83,77,1,64,76,19,1
91,69,1,14,90,77,-21
63,44,2,17,74,-2185,5410
40,70,0,1,19,41,89
51,96,0,60,17,111,113
50,44,2,19,42,-898,2936
61,83,0,12,0,73,83
53,63,2,34,25,227,3467
46,7,0,31,86,77,93
20,94,1,76,1,-56,93
43,92,0,39,60,82,152
35,12,0,90,53,125,65
10,36,3,11,77,0.476363636363636,-0.0618181818181818
5,53,1,67,28,-62,25
5,34,2,85,72,-2023,3250
88,23,0,75,18,163,41
22,82,3,76,40,0.671366594360087,0.725596529284165
0,16,2,63,53,-848,1008
39,61,1,85,34,-46,27
42,68,1,33,69,9,-1
71,91,2,40,73,-3803,8823
53,61,1,24,45,29,16
3,98,0,25,16,28,114
84,94,2,34,95,-6074,11176
8,83,2,50,2,234,4166
20,46,0,9,94,29,140
81,67,1,63,82,18,-15
76,29,2,15,4,1024,739
37,83,1,18,89,19,-6
97,83,0,78,72,175,155
31,39,0,50,8,81,47
18,73,2,87,28,-478,6855
47,75,0,32,15,79,90
12,20,2,38,87,-1284,1804
31,73,3,88,57,0.626671518238879,0.423633221140726
20,12,3,6,2,3.6,0.8
13,83,1,59,68,-46,15
46,28,0,94,33,140,61
92,41,3,2,10,5.71153846153846,-8.05769230769231
20,5,3,35,35,0.357142857142857,-0.214285714285714
81,78,1,3,74,78,4
61,48,0,41,33,102,81
75,4,0,62,60,137,64
92,4,1,85,35,7,-31
39,5,0,40,8,79,13
56,92,0,14,66,70,158
49,15,1,51,25,-2,-10
81,60,2,15,10,615,1710
70,87,2,88,77,-539,13046
78,25,2,14,62,-458,5186
0,60,3,69,49,0.410499860374197,0.578050823792237
60,17,2,28,16,1408,1436
25,46,2,55,59,-1339,4005
42,14,0,40,3,82,17
75,24,0,59,79,134,103
82,79,1,55,42,27,37
37,94,2,59,55,-2987,7581
59,28,3,32,79,0.564349621472815,-0.518238128011012
82,39,2,74,9,5717,3624
52,2,0,84,45,136,47
92,68,2,28,30,536,4664
56,40,2,61,34,2056,4344
33,34,0,25,44,58,78
98,33,1,80,13,18,20
88,39,3,5,47,1.01745747538048,-1.76410026857654
17,51,1,6,42,11,9
25,15,0,97,74,122,89
74,9,3,33,83,0.399724241664578,-0.73263975933818
69,14,2,14,8,854,748
67,28,3,30,27,1.69797421731123,-0.594843462246777
69,29,1,36,80,33,-51
88,79,0,51,7,139,86
21,83,1,78,35,-57,48
89,85,3,85,11,1.1570922951266,0.850258644160087
63,44,3,51,71,0.829233185030097,-0.291677571316409
68,17,3,38,94,0.406809338521401,-0.558949416342412
52,47,1,31,70,21,-23
15,1,2,90,93,1257,1485
68,99,2,70,23,2483,8494
71,78,0,84,60,155,138
69,81,3,34,5,2.32938187976291,2.03979678238781
13,55,0,54,98,67,153
53,62,0,93,65,146,127
21,58,0,98,34,119,92
60,94,3,94,49,0.911809201744238,0.524695203346089
44,32,0,35,0,79,32
0,41,2,2,79,-3239,82
17,96,0,44,82,61,178
56,19,1,28,15,28,4
55,96,1,1,20,54,76
39,62,1,25,65,14,-3
14,68,3,38,85,0.72811166224478,0.160802860768255
28,50,0,63,90,91,140
21,69,0,22,42,43,111
6,93,0,32,30,38,123
90,73,3,10,11,7.70588235294118,-1.17647058823529
61,79,1,33,46,28,33
47,59,0,55,95,102,154
78,86,0,24,83,102,169
83,21,1,13,3,70,18
75,87,0,30,12,105,99
73,88,2,24,81,-5376,8025
40,2,3,99,55,0.317324185248713,-0.156089193825043
63,13,3,1,61,0.229983879634605,-1.02901665771091
58,84,3,40,64,1.35112359550562,-0.0617977528089888
61,40,0,82,4,143,44
47,82,0,7,66,54,148
26,51,3,79,33,0.509822646657572,0.432605729877217
27,26,1,72,92,-45,-66
46,80,2,88,82,-2512,10812
88,55,1,15,42,73,13
86,81,3,5,49,1.81327287716406,-1.57007419620775
7,19,0,85,30,92,49
76,74,3,63,40,1.39127311905189,0.291255162506734
3,91,3,67,35,0.592579628981449,1.04865243262163
77,34,0,67,48,144,82
19,31,1,41,46,-22,-15
69,24,0,87,16,156,40
6,11,0,4,65,10,76
27,4,3,44,77,0.19020979020979,-0.241958041958042
74,12,3,49,9,1.5044319097502,-0.0314262691377921
82,81,1,39,2,43,79
38,75,1,42,35,-4,40
76,18,0,64,16,140,34
46,78,2,31,91,-5672,6604
60,4,3,72,4,0.833846153846154,0.00923076923076923
6,72,2,9,35,-2466,858
29,18,2,29,56,-167,2146
89,29,1,94,40,-5,-11
85,16,3,31,78,0.551171043293116,-0.87068843151171
48,36,0,6,31,54,67
66,48,2,44,60,24,6072
93,48,0,51,9,144,57
20,52,3,39,56,0.792785054756281,0.194975305990981
95,83,2,84,44,4328,11152
5,8,0,59,98,64,106
58,94,2,40,86,-5764,8748
35,68,3,79,3,0.47504,0.84272
5,42,1,38,38,-33,4
94,73,0,81,29,175,102
87,21,3,1,35,0.67047308319739,-2.46655791190865
49,70,2,0,48,-3360,2352
46,56,0,18,0,64,56
96,15,1,37,88,59,-73
42,91,0,80,92,122,183
61,9,0,48,89,109,98
58,95,1,31,60,27,35
50,80,3,71,99,0.772806899339712,0.0491847459911063
5,60,2,47,64,-3605,3140
27,3,0,88,5,115,8
99,12,1,34,55,65,-43
51,42,3,81,48,0.693401015228426,0.10761421319797
74,27,3,71,42,0.938721528288023,-0.175018368846436
20,49,2,11,38,-1642,1299
60,51,3,87,25,0.792653160849402,0.358432999755919
4,92,2,3,41,-3760,440
79,15,1,82,60,-3,-45
64,75,2,33,22,462,3883
70,36,2,31,75,-530,6366
92,8,2,47,88,3620,8472
95,18,1,93,78,2,-60
57,99,1,50,38,7,61
80,71,3,59,1,1.3759333716255,1.18006892590465
40,76,1,34,84,6,-8
16,54,3,11,63,0.87481662591687,-0.101222493887531
78,97,0,50,61,128,158
83,92,0,51,84,134,176
65,79,3,58,40,1.39605157131346,0.399274778404512
38,15,3,10,9,2.84530386740331,-1.06077348066298
60,70,1,97,53,-37,17
32,76,0,62,30,94,106
43,69,3,35,10,1.65660377358491,1.49811320754717
2,89,1,53,17,-51,72
8,72,0,52,82,60,154
42,19,1,62,43,-20,-24
75,29,1,63,15,12,14
47,32,2,4,80,-2372,3888
11,66,0,35,32,46,98
26,74,1,61,42,-35,32
86,53,3,85,89,0.794071041859237,-0.207909679123201
54,15,1,55,95,-1,-80
35,52,1,23,72,12,-20
43,13,0,82,19,125,32
52,48,1,41,16,11,32
30,11,3,61,13,0.50719794344473,0.0722365038560411
2,34,1,19,52,-17,-18
93,9,2,30,49,2349,4827
41,89,0,55,13,96,102
66,38,3,96,93,0.55247691015953,-0.139378673383711
79,51,2,73,3,5614,3960
90,48,2,79,71,3702,10182
21,14,3,80,35,0.284590163934426,0.0504918032786885
40,48,0,61,62,101,110
9,3,1,77,32,-68,-29
27,18,1,82,60,-55,-42
10,53,2,16,36,-1748,1208
12,12,2,40,5,420,540
51,55,3,85,89,0.609401822263304,0.00897926845371715
10,30,1,88,16,-78,14
12,71,3,78,69,0.538035961272476,0.434301521438451
16,67,0,79,64,95,131
79,61,3,38,74,1.08612716763006,-0.509826589595376
69,84,1,83,73,-14,11
30,84,1,94,7,-64,77
30,50,3,91,70,0.472650026553372,0.185873605947955
95,34,1,10,89,85,-55
80,48,3,32,49,1.43416058394161,-0.696058394160584
35,85,2,99,43,-190,9920
61,50,0,75,79,136,129
75,29,0,93,70,168,99
16,19,0,23,10,39,29
30,27,1,91,27,-61,0
49,8,1,86,81,-37,-73
74,63,1,93,31,-19,32
4,91,2,76,45,-3791,7096
64,67,3,64,79,0.908290606558963,-0.0742962174712199
67,71,2,14,34,-1476,3272
34,6,0,2,9,36,15
94,58,3,97,56,0.985731367078517,0.028856117975289
41,67,2,18,91,-5359,4937
90,27,3,99,1,0.911752703529892,0.263517649459294
93,4,1,24,34,69,-30
89,76,2,85,0,7565,6460
75,92,1,85,44,-10,48
52,28,0,45,41,97,69
14,91,2,67,93,-7525,7399
77,12,2,56,36,3880,3444
24,33,2,28,91,-2331,3108
35,37,1,3,50,32,-13
6,10,1,79,86,-73,-76
28,36,1,70,65,-42,-29
40,48,3,11,5,4.65753424657534,2.24657534246575
59,38,0,37,85,96,123
78,34,0,19,51,97,85
0,19,2,84,79,-1501,1596
6,77,0,54,58,60,135
12,56,2,4,72,-3984,1088
50,19,1,78,50,-28,-31
30,99,3,63,67,1.00768503192244,0.49976353747931
93,25,0,0,93,93,118
85,15,0,44,81,129,96
95,4,2,47,48,4273,4748
16,55,2,54,67,-2821,4042
24,57,3,69,72,0.579185520361991,0.221719457013575
40,74,3,29,2,1.54792899408284,2.44497041420118
35,98,1,35,21,0,77
23,19,2,49,26,633,1529
91,69,2,82,81,1873,13029
13,40,2,49,57,-1643,2701
48,27,2,60,37,1881,3396
24,20,2,74,13,1516,1792
38,80,3,74,34,0.834137515078408,0.697828709288299
1,30,1,62,17,-61,13
77,10,0,69,78,146,88
94,58,1,14,86,80,-28
33,55,3,72,52,0.663793103448276,0.28448275862069
84,73,1,55,58,29,15
33,60,1,81,30,-48,30
84,28,0,32,42,116,70
44,13,1,21,22,23,-9
53,89,0,65,1,118,90
19,86,1,60,16,-41,70
57,76,0,78,19,135,95
57,72,1,98,65,-41,7
87,89,0,47,23,134,112
12,16,0,82,22,94,38
30,75,3,44,6,0.897565922920892,1.58215010141988
71,5,2,5,60,55,4285
32,5,3,58,52,0.348714568226763,-0.226433750823995
40,34,0,93,95,133,129
61,1,2,33,68,1945,4181
37,99,2,5,77,-7438,3344
7,5,1,21,0,-14,5
30,23,3,63,36,0.516239316239316,0.0700854700854701
12,19,3,13,41,0.505405405405405,-0.132432432432432
51,64,3,47,80,0.87315599953537,-0.12452085027297
19,36,3,87,51,0.34306784660767,0.212684365781711
53,68,3,64,90,0.779927845195146,-0.034273532305674
15,23,0,7,36,22,59
87,44,0,33,42,120,86
65,84,0,9,37,74,121
34,89,0,38,28,72,117
69,28,3,15,28,1.80277502477701,-1.49851337958375
85,17,2,23,41,1258,3876
3,53,0,71,11,74,64
96,76,0,15,51,111,127
50,21,3,8,90,0.280499755022048,-0.53062224399804
50,55,3,24,74,0.870786516853933,-0.393258426966292
36,59,0,22,24,58,83
0,81,0,19,42,19,123
18,21,1,20,66,-2,-45
20,84,2,43,66,-4684,4932
94,10,0,44,53,138,63
30,20,1,22,97,8,-77
31,7,1,65,21,-34,-14
91,84,1,47,91,44,-7
77,41,0,48,19,125,60
72,46,0,91,16,163,62
3,79,1,62,90,-59,-11
20,79,3,42,12,0.937106918238994,1.61320754716981
58,21,0,15,92,73,113
31,79,3,14,82,0.998843930635838,-0.207514450867052
97,70,2,80,23,6150,7831
72,10,1,64,9,8,1
82,67,1,92,93,-10,-26
2,45,0,52,94,54,139
94,90,2,14,81,-5974,8874
53,43,0,62,70,115,113
24,49,1,68,31,-44,18
40,70,3,20,89,0.844850378560269,-0.259584184593198
25,4,0,85,9,110,13
22,71,3,73,65,0.651140883399623,0.3928197613565
63,81,2,28,97,-6093,8379
26,53,1,83,93,-57,-40
80,94,3,1,11,9.13114754098361,-6.44262295081967
99,79,3,20,82,1.18725435148793,-0.917742841100505
7,62,1,96,46,-89,16
76,82,2,15,58,-3616,5638
34,77,3,42,6,1.05,1.68333333333333
9,74,1,3,54,6,20
1,13,2,52,95,-1183,771
14,29,1,18,93,-4,-64
32,96,2,91,42,-1120,10080
47,87,3,74,83,0.865264860493328,0.205175899716943
61,77,2,33,50,-1837,5591
44,19,0,24,10,68,29
22,35,2,94,16,1508,3642
91,49,1,42,92,49,-43
54,87,0,64,10,118,97
21,44,2,20,33,-1032,1573
31,69,1,96,35,-65,34
94,32,2,83,75,5402,9706
18,59,2,62,4,880,3730
27,87,3,63,36,0.917948717948718,0.856410256410256
76,97,1,74,64,2,33
99,19,1,29,80,70,-61
97,39,1,69,95,28,-56
84,76,3,76,97,0.90589397431676,-0.156206783009549
67,70,0,67,51,134,121
59,45,1,73,54,-14,-9
59,14,0,59,90,118,104
88,97,2,89,59,2109,13825
37,25,0,60,66,97,91
0,79,2,26,49,-3871,2054
10,58,3,89,79,0.386386103657675,0.308713458551052
67,64,3,44,74,1.03669724770642,-0.288990825688073
51,58,0,25,41,76,99
83,71,2,76,53,2545,9795
44,29,2,95,92,1512,6803
66,42,0,67,69,133,111
23,11,1,88,25,-65,-14
94,85,2,45,67,-1465,10123
12,2,0,69,26,81,28
30,9,1,17,70,13,-61
85,68,3,48,31,1.89525267993874,0.192649310872894
42,44,1,42,13,0,31
36,10,1,28,65,8,-55
68,81,0,99,35,167,116
53,30,2,40,3,2030,1359
57,97,1,50,56,7,41
50,80,3,42,24,1.71794871794872,0.923076923076923
94,32,0,14,42,108,74
58,47,0,30,80,88,127
60,32,2,89,20,4700,4048
91,75,2,51,51,816,8466
95,14,1,93,64,2,-50
1,64,2,37,14,-859,2382
35,80,2,63,34,-515,6230
80,3,1,95,70,-15,-67
31,96,0,40,49,71,145
69,86,1,34,56,35,30
54,73,2,51,10,2024,4263
5,45,3,39,30,0.63816604708798,0.662949194547708
4,2,2,43,85,2,426
12,30,1,53,27,-41,3
77,46,3,47,28,1.63949214834614,0.00200467758102239
11,12,1,15,96,-4,-84
34,85,2,61,25,-51,6035
16,49,2,80,88,-3032,5328
18,96,3,4,91,1.06158852597324,-0.151138965891286
70,40,1,30,13,40,27
74,65,1,1,11,73,54
8,21,1,83,0,-75,21
62,11,2,22,90,374,5822
13,31,0,38,71,51,102
26,91,1,21,88,5,3
6,57,1,82,70,-76,-13
94,80,1,72,33,22,47
47,35,0,90,18,137,53
2,25,0,79,78,81,103
75,90,0,29,90,104,180
13,65,3,1,83,0.784905660377359,-0.147169811320755
27,69,1,99,55,-72,14
68,75,1,60,73,8,2
33,98,3,80,63,0.850033754460411,0.555598418362427
26,58,0,81,28,107,86
84,55,3,36,63,1.23247863247863,-0.629059829059829
21,27,1,58,39,-37,-12
89,84,1,41,43,48,41
45,44,3,33,35,1.30726015557476,-0.0531547104580813
3,73,2,16,64,-4624,1360
56,23,3,44,82,0.502309468822171,-0.413394919168591
0,75,2,63,27,-2025,4725
34,61,3,97,15,0.437305376790534,0.561241436578783
19,67,2,18,19,-931,1567
29,75,3,1,92,0.818546958062611,-0.306320141760189
93,48,0,21,75,114,123
1,2,1,29,72,-28,-70
45,98,1,63,87,-18,11
90,10,1,42,20,48,-10
48,96,1,26,42,22,54
47,3,1,11,49,36,-46
8,20,1,21,8,-13,12
12,14,0,82,28,94,42
87,42,2,52,47,2550,6273
57,61,1,14,21,43,40
70,78,2,44,12,2144,4272
12,66,3,48,78,0.682403433476395,0.266094420600858
61,40,2,65,66,1325,6626
93,66,3,49,96,0.937677541533959,-0.490143754842042
13,36,0,48,6,61,42
31,86,1,73,40,-42,46
7,44,0,32,16,39,60
84,23,2,3,34,-530,2925
96,63,2,23,2,2082,1641
5,88,2,48,27,-2136,4359
83,95,1,26,6,57,89
27,45,0,44,85,71,130
74,21,2,13,16,626,1457
62,89,3,14,65,1.50486315313278,-0.629721782402172
2,82,2,26,76,-6180,2284
93,95,1,52,34,41,61
25,37,0,64,55,89,92
78,59,0,36,34,114,93
22,33,0,51,72,73,105
35,15,0,96,87,131,102
83,90,2,30,95,-6060,10585
37,30,2,85,67,1135,5029
46,90,1,72,57,-26,33
61,59,0,98,58,159,117
18,22,0,34,20,52,42
13,89,2,72,1,847,6421
85,25,2,77,78,4595,8555
3,31,0,88,62,91,93
58,60,3,16,14,3.91150442477876,0.327433628318584
1,38,1,27,46,-26,-8
94,90,0,88,86,182,176
87,37,1,29,90,58,-53
55,14,3,47,68,0.517635006585687,-0.451046392506952
52,22,3,29,33,1.15751295336788,-0.558549222797928
72,49,2,11,54,-1854,4427
50,66,3,88,34,0.746516853932584,0.461573033707865
20,79,0,76,98,96,177
90,95,1,91,83,-1,12
97,3,0,43,88,140,91
6,97,1,97,43,-91,54
70,34,1,26,56,44,-22
51,93,1,68,29,-17,64
38,53,0,51,41,89,94
76,41,1,41,29,35,12
65,41,2,59,61,1334,6384
79,99,2,45,79,-4266,10696
13,72,3,30,85,0.801230769230769,0.129846153846154
22,92,2,52,9,316,4982
45,97,0,86,41,131,138
68,5,0,48,86,116,91
71,56,1,66,4,5,52
29,77,1,82,81,-53,-4
25,21,3,6,75,0.304716481187069,-0.308956014838368
72,25,2,10,90,-1530,6730
90,65,3,24,74,1.15168539325843,-0.842696629213483
96,35,3,20,51,1.23458847050983,-1.39820059980007
11,24,3,95,89,0.187713914788151,0.0767732798300484
8,52,3,93,24,0.215934959349593,0.503414634146341
32,21,0,48,10,80,31
44,73,2,23,82,-4974,5287
15,97,2,8,79,-7543,1961
47,77,2,45,76,-3737,7037
25,93,1,40,22,-15,71
33,84,3,81,95,0.683498011035545,0.235403567303991
2,78,3,42,16,0.659405940594059,1.60594059405941
50,78,2,52,16,1352,4856
63,26,0,22,9,85,35
57,78,1,42,70,15,8
86,75,1,72,14,14,61
20,15,3,46,69,0.284280936454849,-0.100334448160535
29,49,1,38,94,-9,-45
60,62,3,26,4,2.61271676300578,1.98265895953757
51,97,0,61,61,112,158
67,75,3,90,28,0.915128320576317,0.54862674470959
93,66,2,15,11,669,2013
97,40,2,95,86,5775,12142
0,0,0,58,82,58,82
37,62,2,48,68,-2440,5492
84,99,3,33,26,3.02889518413598,0.613597733711048
78,21,1,42,2,36,19
79,0,3,55,84,0.431008828489237,-0.65826802896538
25,50,0,80,87,105,137
13,20,3,54,63,0.284967320261438,0.0379084967320261
48,29,2,35,94,-1046,5527
75,67,0,23,25,98,92
62,25,3,96,48,0.620833333333333,-0.05
32,24,2,22,2,656,592
9,7,2,35,57,-84,758
35,64,2,51,76,-3079,5924
93,41,3,72,24,1.33333333333333,0.125
14,83,0,97,5,111,88
3,21,3,14,79,0.264253534255088,0.00885505670343328
40,25,3,27,59,0.606888361045131,-0.400237529691211
87,78,2,4,20,-1212,2052
13,40,2,83,82,-2201,4386
77,50,3,95,68,0.78503919701077,-0.0356070041761301
46,21,0,47,26,93,47
94,84,0,54,88,148,172
66,96,1,8,12,58,84
11,29,3,8,64,0.467307692307692,-0.113461538461538
82,3,2,86,47,6911,4112
91,19,1,42,95,49,-76
11,2,3,24,52,0.11219512195122,-0.159756097560976
78,84,3,10,33,2.98738435660219,-1.45836837678722
8,7,3,85,98,0.0811694099471151,-0.0112306138213798
41,46,0,88,82,129,128
47,19,3,29,69,0.477329525169582,-0.480542663334523
86,81,3,69,47,1.39756097560976,0.221951219512195
80,77,2,20,87,-5099,8500
70,96,1,62,3,8,93
70,51,1,12,58,58,-7
17,90,1,75,35,-58,55
4,84,2,27,1,24,2272
78,86,3,59,29,1.64183248496067,0.650624710782045
13,32,1,23,57,-10,-25
62,36,2,64,29,2924,4102
33,5,0,13,35,46,40
39,34,0,47,9,86,43
11,83,1,22,44,-11,39
7,69,2,66,48,-2850,4890
18,40,2,47,65,-1754,3050
5,6,1,14,64,-9,-58
10,50,2,21,56,-2590,1610
21,57,3,74,71,0.532566321194257,0.259294475610916
58,56,1,3,58,55,-2
2,82,1,40,94,-38,-12
23,79,2,25,97,-7088,4206
80,8,3,18,18,2.44444444444444,-2
36,12,3,75,60,0.370731707317073,-0.136585365853659
84,63,0,35,57,119,120
82,27,0,63,93,145,120
13,81,1,83,97,-70,-16
7,84,1,63,7,-56,77
81,47,3,74,81,0.814239428429011,-0.256126941929052
14,13,3,26,59,0.272071205196055,-0.117392350252586
11,45,0,69,77,80,122
77,7,0,72,11,149,18
86,19,1,19,71,67,-52
57,40,2,41,3,2217,1811
42,12,0,57,27,99,39
14,24,3,90,32,0.222270933800964,0.187637001315213
1,55,1,15,58,-14,-3
20,19,3,30,27,0.683241252302026,0.0184162062615101
18,10,2,62,87,246,2186
22,84,0,47,36,69,120
51,0,3,66,73,0.347547754259164,-0.384408879710893
70,38,3,18,92,0.541192535275375,-0.654984069185253
97,71,2,20,38,-758,5106
26,38,3,68,63,0.484347724892354,0.110089607820319
34,1,2,83,51,2771,1817
61,81,1,57,96,4,-15
98,28,1,14,88,84,-60
10,52,1,65,61,-55,-9
96,34,0,8,97,104,131
23,98,3,82,30,0.633001049317943,0.963536201469045
96,11,0,31,64,127,75
22,47,0,19,14,41,61
29,4,2,58,68,1410,2204
77,35,1,65,92,12,-57
55,70,3,86,66,0.795609257998639,0.203369639210347
69,33,3,98,90,0.549706281066426,-0.168097605061003
13,97,0,38,67,51,164
30,6,2,24,78,252,2484
74,93,3,4,2,24.1,11.2
4,8,3,72,43,0.0898620787715058,0.0574434807336841
36,26,2,51,39,822,2730
73,31,3,21,64,0.775181838219087,-0.886268459334362
4,81,1,24,86,-20,-5
48,99,0,75,5,123,104
50,32,3,27,87,0.498192335502531,-0.420101229211858
91,52,0,79,42,170,94
2,70,1,83,10,-81,60
73,38,0,41,39,114,77
33,64,2,77,45,-339,6413
13,50,0,13,64,26,114
50,55,3,94,56,0.649849649181423,0.197961911125961
79,86,0,3,79,82,165
93,52,0,76,86,169,138
75,21,2,97,5,7170,2412
92,33,1,30,67,62,-34
3,94,3,4,10,8.20689655172414,2.98275862068966
29,88,2,71,59,-3133,7959
20,25,1,43,63,-23,-38
62,91,1,21,46,41,45
68,85,3,49,6,1.5765285186705,1.54164956914239
22,58,1,56,82,-34,-24
20,23,3,0,54,0.425925925925926,-0.37037037037037
3,56,3,38,79,0.590500975927131,0.246063760572544
39,34,2,48,40,512,3192
6,10,2,31,66,-474,706
22,36,3,94,57,0.340918494000827,0.176251551510137
49,13,2,86,1,4201,1167
16,33,0,71,52,87,85
56,96,0,27,0,83,96
13,51,0,86,91,99,142
14,85,0,70,62,84,147
50,12,2,18,65,120,3466
25,66,0,82,85,107,151
19,12,1,32,93,-13,-81
58,6,0,74,62,132,68
5,9,3,2,29,0.320710059171598,-0.150295857988166
27,77,1,3,9,24,68
30,30,3,70,24,0.514974433893353,0.252008765522279
41,66,3,33,48,1.33244916003537,0.0618921308576481
85,81,0,40,15,125,96
92,20,1,74,70,18,-50
91,41,0,20,16,111,57
87,34,1,99,20,-12,14
4,93,0,81,17,85,110
22,5,1,67,76,-45,-71
18,89,1,87,9,-69,80
93,87,3,57,79,1.28282402528978,-0.251633298208641
17,90,0,20,44,37,134
65,13,3,24,77,0.39369715603382,-0.721445042275173
71,68,2,64,7,4068,4849
61,82,3,4,82,1.03382789317507,-0.693471810089021
4,28,0,86,1,90,29
34,60,3,75,91,0.576010355242341,0.101107435639292
9,35,1,57,95,-48,-60
39,21,3,17,34,0.952941176470588,-0.670588235294118
12,29,1,78,89,-66,-60
83,62,0,39,9,122,71
96,24,1,68,14,28,10
32,11,3,4,24,0.662162162162162,-1.22297297297297
1,56,2,72,69,-3792,4101
81,26,2,11,86,-1345,7252
39,24,3,1,43,0.578918918918919,-0.893513513513513
3,94,2,42,90,-8334,4218
92,80,1,55,16,37,64
58,27,1,42,5,16,22
12,71,0,92,17,104,88
6,16,1,58,93,-52,-77
49,97,3,63,77,1.06647807637907,0.236209335219236
97,25,2,77,36,6569,5417
45,93,3,1,36,2.61603700848111,-1.17733230531997
19,2,3,79,97,0.108306709265176,-0.107667731629393
96,27,2,78,13,7137,3354
66,4,0,44,82,110,86
33,68,2,75,24,843,5892
74,84,0,39,50,113,134
87,69,2,74,70,1608,11196
41,34,1,49,37,-8,-3
19,33,1,61,69,-42,-36
12,26,1,66,5,-54,21
50,30,1,47,73,3,-43
84,99,3,71,18,1.44380242311277,1.02833178005592
15,51,0,26,39,41,90
30,28,2,21,85,-1750,3138
95,44,3,34,5,2.92125317527519,0.864521591871296
32,80,0,63,60,95,140
59,63,3,87,71,0.761776367961935,0.102458366375892
5,16,1,87,58,-82,-42
21,98,2,58,85,-7112,7469
80,21,2,99,78,6282,8319
80,63,3,20,73,1.08203875021819,-0.799441438296387
42,48,3,54,18,0.966666666666667,0.566666666666667
46,9,2,33,22,1320,1309
44,49,3,33,37,1.32831570382425,-0.00447518307567128
74,61,2,3,22,-1120,1811
73,44,2,31,58,-289,5598
51,62,0,9,17,60,79
53,47,0,63,95,116,142
68,69,1,64,10,4,59
46,83,2,20,82,-5886,5432
27,39,1,12,50,15,-11
16,30,0,31,26,47,56
60,32,0,91,89,151,121
73,16,2,53,4,3805,1140
42,44,2,63,51,402,4914
42,3,3,60,59,0.38087840700466,-0.324530433554583
29,53,3,18,75,0.755925365607665,-0.205244578920827
64,39,0,5,55,69,94
11,50,1,83,46,-72,4
66,7,0,68,55,134,62
33,79,2,5,47,-3548,1946
90,12,1,43,20,47,-8
91,14,2,11,12,833,1246
50,25,1,32,70,18,-45
53,20,1,99,20,-46,0
97,68,2,79,53,4059,10513
7,59,3,88,81,0.377140859839217,0.323313526738902
3,94,0,10,81,13,175
33,77,0,11,40,44,117
60,7,0,74,23,134,30
46,87,0,59,15,105,102
26,50,1,63,34,-37,16
18,28,3,59,54,0.402376113803345,0.106299828044396
56,14,2,92,48,4480,3976
38,93,0,42,55,80,148
8,77,3,21,45,1.47323600973236,0.509732360097324
29,91,1,86,96,-57,-5
3,92,3,87,88,0.545745445046692,0.505452883171162
82,92,0,83,66,165,158
8,9,3,17,16,0.513761467889908,0.0458715596330275
6,63,0,27,36,33,99
59,87,0,49,3,108,90
85,4,1,40,70,45,-66
44,89,1,86,97,-42,-8
29,80,3,3,45,1.81268436578171,-0.523598820058997
53,54,2,21,93,-3909,6063
67,93,1,74,28,-7,65
80,75,3,61,34,1.52347754767275,0.380356776706992
12,32,3,76,8,0.2,0.4
41,63,3,13,12,4.11821086261981,1.04472843450479
90,39,2,93,27,7317,6057
27,84,1,96,93,-69,-9
21,34,1,11,23,10,11
86,59,2,23,37,-205,4539
50,9,3,19,51,0.475692099932478,-0.803173531397704
24,59,1,20,61,4,-2
10,85,0,17,98,27,183
94,40,3,56,15,1.74471883368045,0.246950312407022
71,99,3,40,16,2.38362068965517,1.52155172413793
13,74,0,64,31,77,105
27,25,1,90,93,-63,-68
95,80,3,93,68,1.07549159948768,0.0738340992993295
9,75,3,63,36,0.620512820512821,0.835897435897436
74,32,1,44,29,30,3
97,84,1,62,81,35,3
49,12,3,17,81,0.263503649635036,-0.54963503649635
34,56,2,37,79,-3166,4758
90,74,1,65,62,25,12
37,47,1,16,34,21,13
79,79,0,92,74,171,153
20,24,0,59,36,79,60
